state,symbol,year,perCapitaIncome
Kansas,KS,2021,"$59,312.75 "
Kentucky,KY,2021,"$50,689.00 "
Louisiana,LA,2021,"$54,405.00 "
Maine,ME,2021,"$57,149.25 "
Maryland,MD,2021,"$69,251.75 "
Massachusetts,MA,2021,"$82,458.75 "
Michigan,MI,2021,"$55,539.25 "
Minnesota,MN,2021,"$65,477.00 "
Mississippi,MS,2021,"$45,425.50 "
Missouri,MO,2021,"$55,149.00 "
Montana,MT,2021,"$56,665.25 "
Nebraska,NE,2021,"$62,085.50 "
Nevada,NV,2021,"$58,223.00 "
New Hampshire,NH,2021,"$74,789.75 "
New Jersey,NJ,2021,"$49,306.25 "
New Mexico,NM,2021,"$76,388.00 "
New York,NY,2021,"$55,033.00 "
North Carolina,NC,2021,"$65,529.50 "
North Dakota,ND,2021,"$56,471.75 "
Ohio,OH,2021,"$53,145.25 "
Oklahoma,OK,2021,"$60,665.00 "
Oregon,OR,2021,"$64,039.25 "
Pennsylvania,PA,2021,"$61,930.25 "
Rhode Island,RI,2021,"$52,063.75 "
South Carolina,SC,2021,"$64,712.50 "
South Dakota,SD,2021,"$54,862.50 "
Tennessee,TN,2021,"$59,663.75 "
Texas,TX,2021,"$55,390.00 "
Utah,UT,2021,"$59,694.75 "
Vermont,VT,2021,"$65,396.25 "
Virginia,VA,2021,"$71,878.50 "
Washington,WA,2021,"$47,803.25 "
West Virginia,WV,2021,"$58,554.25 "
Wisconsin,WI,2021,"$65,617.00 "
Wyoming,WY,2021,"$76,636.50 "
