zip,primary_city,state,county,latitude,longitude,irs_estimated_population
37065,Franklin,TN,Williamson County,35.92,-86.84,625
37066,Gallatin,TN,Sumner County,36.37,-86.45,50840
37067,Franklin,TN,Williamson County,35.92,-86.84,28790
37068,Franklin,TN,Williamson County,35.92,-86.84,922
37069,Franklin,TN,Williamson County,35.99,-86.9,20260
37070,Goodlettsville,TN,Davidson County,36.33,-86.7,794
37071,Gladeville,TN,Wilson County,36.08,-86.4,113
37072,Goodlettsville,TN,Davidson County,36.33,-86.7,27830
37073,Greenbrier,TN,Robertson County,36.42,-86.8,13500
37074,Hartsville,TN,Trousdale County,36.39,-86.15,6540
37075,Hendersonville,TN,Sumner County,36.29,-86.6,64300
37076,Hermitage,TN,Davidson County,36.13,-86.58,34380
37077,Hendersonville,TN,Sumner County,36.29,-86.6,875
37078,Hurricane Mills,TN,Humphreys County,35.94,-87.76,520
37079,Indian Mound,TN,Stewart County,36.47,-87.66,2290
37080,Joelton,TN,Davidson County,36.33,-86.91,6620
37082,Kingston Springs,TN,Cheatham County,36.09,-87.1,5790
37083,Lafayette,TN,Macon County,36.52,-86.03,12810
37085,Lascassas,TN,Rutherford County,35.94,-86.29,4930
37086,La Vergne,TN,Rutherford County,35.99,-86.57,33590
37087,Lebanon,TN,Wilson County,36.2,-86.32,44550
37088,Lebanon,TN,Wilson County,36.2,-86.32,1385
37089,La Vergne,TN,Rutherford County,35.99,-86.57,0
37090,Lebanon,TN,Wilson County,36.11,-86.3,15990
37091,Lewisburg,TN,Marshall County,35.44,-86.78,19120
37095,Liberty,TN,DeKalb County,36,-85.98,1530
37096,Linden,TN,Perry County,35.61,-87.84,4540
37097,Lobelville,TN,Perry County,35.75,-87.79,1700
37098,Lyles,TN,Hickman County,35.87,-87.32,4690
37101,Mc Ewen,TN,Humphreys County,36.1,-87.63,5570
37110,Mcminnville,TN,Warren County,35.68,-85.77,26460
37111,Mcminnville,TN,Warren County,35.68,-85.77,995
37115,Madison,TN,Davidson County,36.25,-86.69,31450
37116,Madison,TN,Davidson County,36.25,-86.69,785
37118,Milton,TN,Rutherford County,35.92,-86.17,1290
37119,Mitchellville,TN,Sumner County,36.63,-86.53,25
37121,Mount Juliet,TN,Wilson County,36.2,-86.52,652
37122,Mount Juliet,TN,Wilson County,36.2,-86.52,59310
37127,Murfreesboro,TN,Rutherford County,35.78,-86.33,17730
37128,Murfreesboro,TN,Rutherford County,35.78,-86.49,60070
37129,Murfreesboro,TN,Rutherford County,35.93,-86.44,53000
37130,Murfreesboro,TN,Rutherford County,35.85,-86.39,45890
37131,Murfreesboro,TN,Rutherford County,35.85,-86.39,0
37132,Murfreesboro,TN,Rutherford County,35.85,-86.36,195
37133,Murfreesboro,TN,Rutherford County,35.85,-86.39,1223
